[218.5647583,123.4085693]
[261.7121582,125.4107666]
[301.5385437,126.6699066]
[337.3657837,128.6739655]
[370.5384827,129.3787079]
[400.5212097,130.5625]
[429.3060303,131.8004303]
[456.4651184,132.5664825]
[219.4898224,171.4857941]
[262.0677185,171.5107422]
[300.4802551,170.5476532]
[336.4828186,170.4685211]
[369.2644043,169.5208588]
[398.4098206,169.475174]
[426.784668,169.341095]
[453.660614,168.4694061]
[220.4428711,218.5149231]
[262.3838806,215.7170563]
[300.5224915,213.4474792]
[335.520874,211.1797333]
[367.3608704,208.9312134]
[397.1568298,206.9750061]
[424.5342407,205.4784393]
[451.3600464,203.6769562]
[220.5277863,263.5201111]
[262.5161438,258.4446411]
[299.7576599,254.2911682]
[334.4805908,250.3282013]
[366.5184937,246.7265015]
[395.5859985,243.4399414]
[422.7424622,240.4394073]
[449.4753113,237.8549957]
[221.5102692,307.538147]
[262.4238586,300.2970581]
[299.5538025,294.0928955]
[333.3588562,288.8427734]
[365.5491943,283.7281494]
[393.7134399,278.9750976]
[421.3265686,274.651886]
[447.5259399,271.2609253]
[222.4976501,350.382019]
[262.5211182,341.3470154]
[298.7864075,333.4161987]
[332.4488831,326.5285034]
[363.657135,319.9947205]
[392.5264587,313.7111816]
[419.5421753,308.6652527]
[445.7583923,303.9313049]
[247.386673,125.4953079]
[284.6407776,131.5668945]
[319.5219116,137.1445618]
[352.4370422,142.3734436]
[383.5734253,146.932785]
[412.4606018,151.4784851]
[440.4732056,155.5074921]
[467.6166382,159.3526001]
[245.0064545,166.0296631]
[282.5574646,170.7030029]
[317.3578796,175.0328979]
[350.4341736,178.6714325]
[381.6196899,182.3838654]
[410.3752747,185.6879883]
[438.5093384,189.0453796]
[466.0362854,191.9786377]
[242.4754181,206.858139]
[280.1227722,209.9163971]
[315.4802856,213.1145172]
[348.6156616,215.4708862]
[379.846344,217.9425354]
[409.3160706,220.4308167]
[437.577301,223.0211029]
[464.4020691,224.8635864]
[239.947052,247.6036682]
[277.9098511,248.9246216]
[313.5205994,250.3522339]
[346.4486389,252.3439789]
[378.3829041,253.3540192]
[407.3888245,255.2936401]
[435.5024719,256.4378052]
[463.5999756,257.7999573]
[237.5180969,288.4983826]
[275.7453003,288.4839172]
[311.5748291,288.5800171]
[345.0144043,289.5545349]
[376.3760681,289.3809814]
[406.209137,290.5415649]
[434.4974365,290.4605713]
[462.5340881,291.6603088]
[234.979187,330.4695129]
[273.5151367,328.3695679]
[309.3814087,327.3963013]
[343.59729,326.7236328]
[374.7709961,326.5546265]
[404.3390198,325.471283]
[433.4649963,325.3849487]
